leaf_index,target_section_count,predicted_section_count,section_count_absolute_error,geometry_rms_m,geometry_rms_normalized,position,size,section_count,total,station_x_m_mae,center_yz_m_mae,width_m_mae,width_m_relative_percent_mean,height_m_mae,height_m_relative_percent_mean,length_m_mae,length_m_relative_percent_mean
53,8,8,0,0.006752114234705066,0.012389996819676875,0.009305361658334732,0.03916992247104645,7.390948667307384e-06,0.04849006608128548,0.005134821869432926,0.0010847941739484668,0.0064690569415688515,7.586309432983398,0.0047095296904444695,6.179834842681885,0.0054814815521240234,1.0058411359786987
54,7,7,0,0.013101002462628766,0.013940740759452277,0.0009159730398096144,0.013788129203021526,7.152555099310121e-07,0.014705533161759377,0.011449594981968403,0.0012365442235022783,0.004392075352370739,4.244510173797607,0.006449210923165083,4.848410606384277,0.02435624599456787,2.5917415618896484
55,4,4,0,0.0036892428305050433,0.004689654909764494,0.00022774649551138282,0.0008355961181223392,1.4305104514278355e-06,0.0010662036947906017,0.0027619339525699615,0.0009318284573964775,0.0013127382844686508,1.3906623125076294,0.000787726603448391,0.7571651935577393,0.001985013484954834,0.2523289620876312
56,4,4,0,0.005886766287530692,0.010584409620730435,0.0013516017934307456,0.0037721158005297184,6.079655122448457e-06,0.0051358770579099655,0.004683330655097961,0.0012766704894602299,0.0026748590171337128,2.877932071685791,0.002580908127129078,2.124112367630005,0.003060579299926758,0.5502923727035522
57,3,3,0,0.007449895695778408,0.011457150741157393,0.0002816024352796376,0.00014843192184343934,5.245195097813848e-06,0.0004405247454997152,0.006929059978574514,0.0008512519998475909,0.00029476359486579895,0.5876604318618774,0.00011138494301121682,0.18128105998039246,0.01645660400390625,2.530851364135742
58,8,8,0,0.01450375830879843,0.015735980284780134,0.010560090653598309,0.015765463933348656,1.1205610462639015e-05,0.026347965002059937,0.0138725396245718,0.0011590071953833103,0.006465878337621689,5.197829246520996,0.003450877033174038,3.2484169006347656,0.017934143543243408,1.9457807540893555
59,8,8,0,0.009384804292295948,0.017351627476444705,0.006879142485558987,0.023692887276411057,4.0531076592742465e-06,0.03058013692498207,0.007947856560349464,0.001088237389922142,0.0066007450222969055,5.884570121765137,0.005332304164767265,4.603512287139893,0.011001884937286377,2.0341458320617676
60,8,8,0,0.02349283118483622,0.02677394308744967,0.01870163157582283,0.025120457634329796,1.9073304429184645e-05,0.04386023432016373,0.022576715797185898,0.001181488623842597,0.004891576711088419,6.386658191680908,0.004729040898382664,5.362354755401611,0.035680294036865234,4.066356182098389
61,8,8,0,0.01274442567515704,0.01898291011900414,0.0065028490498661995,0.01522298064082861,1.6689286894688848e-06,0.02172916755080223,0.011469647288322449,0.000983146601356566,0.0028522489592432976,3.741142749786377,0.00783094484359026,5.832525253295898,0.014492392539978027,2.158651828765869
62,6,6,0,0.004950290832702319,0.007546353114885637,0.0010365111520513892,0.0009100130409933627,1.6689286894688848e-06,0.0019498621113598347,0.0035858862102031708,0.0016960579669103026,0.0008825635304674506,0.9664725661277771,0.001289319945499301,1.1621922254562378,0.004761815071105957,0.7259035706520081
63,8,8,0,0.020057075257964525,0.025360953223670112,0.016342809423804283,0.016960512846708298,3.3378546504536644e-06,0.033309996128082275,0.019194653257727623,0.0012078608851879835,0.004550510086119175,5.102540969848633,0.005197760183364153,4.692967414855957,0.005772769451141357,0.729931652545929
