leaf_index,target_section_count,predicted_section_count,section_count_absolute_error,geometry_rms_m,geometry_rms_normalized,position,chord,twist,cst_code,section_count,total,cst_shape_coefficients_mae,cst_trailing_edge_y_mae,cst_n1_n2_mae,leading_edge_xyz_m_mae,chord_m_mae,chord_m_relative_percent_mean,twist_rad_mae
69,8,8,0,0.020250869753569434,0.04050173950713887,0.009024389088153839,0.016651708632707596,0.03378290310502052,0.5580155849456787,1.1920928244535389e-07,0.6535724997520447,0.043837085366249084,0.0006372275529429317,0.03363416716456413,0.009768660180270672,0.004027538932859898,3.4043402671813965,0.004735237453132868
70,8,8,0,0.031235927525836715,0.06247185505167343,0.03582603484392166,0.05445055663585663,0.034548018127679825,0.5657751560211182,-0.0,0.8339039087295532,0.03953002765774727,0.0012458318378776312,0.03622308373451233,0.015252573415637016,0.01839497499167919,9.015727996826172,0.004910526797175407
71,7,7,0,0.03047249776174172,0.06094499552348344,0.010707578621804714,0.038730911910533905,0.019692648202180862,0.4555802345275879,1.1920928244535389e-07,0.5675420761108398,0.03713145852088928,0.0010842701885849237,0.025631848722696304,0.01077265664935112,0.012489293701946735,5.701058864593506,0.0037870772648602724
72,8,8,0,0.026258491481401285,0.05251698296280257,0.008512131869792938,0.012390476651489735,0.0046399482525885105,0.48788291215896606,5.960462772236497e-07,0.5474758148193359,0.040249574929475784,0.0009799099061638117,0.028962289914488792,0.011095494031906128,0.004482145421206951,2.7737486362457275,0.0018364298157393932
73,3,3,0,0.01473791114207434,0.03426493336137058,0.002322813030332327,0.02183498442173004,0.004039851948618889,0.16383056342601776,-0.0,0.20131945610046387,0.02060094103217125,0.0008798157796263695,0.01355473231524229,0.0072112008929252625,0.011566460132598877,5.191492080688477,0.0017264659982174635
74,4,4,0,0.045007769107348744,0.09001553821469749,0.02243991754949093,0.02546577714383602,0.01719045639038086,0.3630768656730652,1.1920928244535389e-07,0.5179330110549927,0.03549494221806526,0.000687174906488508,0.02156752720475197,0.019617091864347458,0.00822942890226841,6.171721458435059,0.0038452930748462677
75,4,4,0,0.024845652668412786,0.03728611605637397,0.016768544912338257,0.027136197313666344,0.044392019510269165,0.4018888473510742,1.1920928244535389e-07,0.5572601556777954,0.033222563564777374,0.0010999345686286688,0.024686411023139954,0.01269487850368023,0.01012662798166275,5.2195305824279785,0.005497230216860771
76,3,3,0,0.017453120047845144,0.03490624009569029,0.0024452991783618927,0.011254844255745411,0.0019025621004402637,0.13763362169265747,-0.0,0.16301752626895905,0.020834242925047874,0.0005657288711518049,0.01046634279191494,0.006099384743720293,0.01061838399618864,3.97322154045105,0.0009456991101615131
77,2,2,0,0.01165978786684602,0.02331957573369204,0.0023302780464291573,0.006881331093609333,0.015991980209946632,0.1052352786064148,1.1920928244535389e-07,0.1397603452205658,0.021520057693123817,0.0003548931563273072,0.006571978330612183,0.0052472795359790325,0.0032671689987182617,2.3104734420776367,0.003674093633890152
78,3,3,0,0.018468799856074525,0.03693759971214905,0.004710651468485594,0.0025519009213894606,0.0072616213001310825,0.3084637224674225,1.1920928244535389e-07,0.341830849647522,0.031646933406591415,0.0008102465653792024,0.011576026678085327,0.008153536356985569,0.004265159368515015,1.9761017560958862,0.0020068008452653885
