leaf_index,target_section_count,predicted_section_count,section_count_absolute_error,geometry_rms_m,geometry_rms_normalized,position,chord,twist,cst_code,section_count,total,cst_shape_coefficients_mae,cst_trailing_edge_y_mae,cst_n1_n2_mae,leading_edge_xyz_m_mae,chord_m_mae,chord_m_relative_percent_mean,twist_rad_mae
33,4,4,0,0.05045440167087275,0.10368217808871978,0.018545042723417282,0.03930916264653206,0.005248982924968004,0.1727563738822937,7.152555099310121e-07,0.3100418746471405,0.02217782847583294,0.0007185712456703186,0.013955626636743546,0.018931835889816284,0.009737220592796803,7.879233360290527,0.0017672772519290447
34,7,7,0,0.030366993801860167,0.060733987603720334,0.00930158980190754,0.05102602764964104,0.07148090749979019,0.48759737610816956,1.311301275563892e-06,0.6566162109375,0.035602618008852005,0.0014598111156374216,0.026642121374607086,0.012377109378576279,0.007030112203210592,7.73722505569458,0.004103974439203739
35,2,2,0,0.02542052951708471,0.09490958377369968,0.007831402122974396,0.004708793479949236,0.004569199867546558,0.11992377042770386,2.3841855067985307e-07,0.16835948824882507,0.018341464921832085,0.0006786015583202243,0.007502444088459015,0.009988851845264435,0.005015604197978973,2.099827527999878,0.002028338611125946
36,2,2,0,0.014396391311997568,0.028450230515688457,0.002315330784767866,0.040431175380945206,0.06734629720449448,0.09877489507198334,2.3841855067985307e-07,0.2181297391653061,0.01916116289794445,0.00037526420783251524,0.012459754943847656,0.004322676919400692,0.011392250657081604,6.760842800140381,0.00791032612323761
37,3,3,0,0.015905602786958906,0.03747035424762213,0.005573278293013573,0.018729837611317635,0.08726146817207336,0.11549272388219833,1.1920928244535389e-07,0.24935078620910645,0.020254390314221382,0.00043237401405349374,0.009940321557223797,0.0078146792948246,0.007313922047615051,4.702683448791504,0.008337223902344704
38,3,3,0,0.02167798433771868,0.04335596867543736,0.004233947489410639,0.016021160408854485,0.00010821125033544376,0.10191434621810913,-0.0,0.1392134577035904,0.018452569842338562,0.0002547933254390955,0.012712876312434673,0.007149446289986372,0.006854479666799307,4.673770904541016,0.0003080846508964896
39,2,2,0,0.030689734667489754,0.11597693376285015,0.008073954842984676,0.005449503194540739,0.029170313850045204,0.21598340570926666,4.768370445162873e-07,0.2909744381904602,0.02687414549291134,0.0008269037352874875,0.01579749584197998,0.012003260664641857,0.006157182157039642,2.5145838260650635,0.004072185140103102
40,8,8,0,0.017413761632629678,0.034827523265259355,0.004563041962683201,0.006371953058987856,0.02072121948003769,0.3416649401187897,2.3841855067985307e-07,0.39157402515411377,0.031193291768431664,0.0005870825843885541,0.017423631623387337,0.007352142594754696,0.004289019852876663,2.3879551887512207,0.003602715441957116
41,2,2,0,0.03098876666550947,0.07832214708098181,0.008177902549505234,0.010843615047633648,0.009380203671753407,0.08108210563659668,1.1920928244535389e-07,0.14219579100608826,0.013676129281520844,0.0007147854194045067,0.006340332329273224,0.012480562552809715,0.005734145641326904,3.2341413497924805,0.002782203257083893
42,5,5,0,0.0349100235117928,0.0698200470235856,0.009381215088069439,0.029285680502653122,0.014618704095482826,0.5300849080085754,3.576278118089249e-07,0.6208964586257935,0.03939324617385864,0.0016141422092914581,0.021364977583289146,0.013017985038459301,0.012656874023377895,5.2122416496276855,0.003436340019106865
